"","folio","fecha_creacion","hora_creacion","dia_semana","fecha_cierre","hora_cierre","incidente_c4","delegacion_inicio","latitud","longitud","codigo_cierre","clas_con_f_alarma","tipo_entrada","delegacion_cierre","ano","mes"
"29","IZ/210201/03236","01/02/2021",15:08:58,"Lunes","01/02/2021",15:19:30,"lesionado-atropellado","IZTAPALAPA",19.356367,-99.00575,"D","URGENCIAS MEDICAS","BOTÓN DE AUXILIO","IZTAPALAPA",2021,2
"30","IZ/210201/03405","01/02/2021",15:40:07,"Lunes","01/02/2021",15:49:05,"lesionado-atropellado","IZTAPALAPA",19.356367,-99.00575,"D","URGENCIAS MEDICAS","BOTÓN DE AUXILIO","IZTAPALAPA",2021,2
"31","C5/210201/00496","01/02/2021",01:17:13,"Lunes","01/02/2021",07:27:14,"accidente-choque sin lesionados","MILPA ALTA",19.20674997,-99.07419996,"A","EMERGENCIA","LLAMADA DEL 911","MILPA ALTA",2021,2
"32","C5/210201/00502","01/02/2021",01:24:42,"Lunes","01/02/2021",06:05:14,"accidente-choque con lesionados","MIGUEL HIDALGO",19.42352001,-99.17758008,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","MIGUEL HIDALGO",2021,2
"33","C5/210201/00507","01/02/2021",01:24:20,"Lunes","01/02/2021",01:44:30,"accidente-choque con lesionados","MIGUEL HIDALGO",19.42462998,-99.20031012,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","MIGUEL HIDALGO",2021,2
"34","C5/210201/00510","01/02/2021",01:26:40,"Lunes","01/02/2021",01:41:45,"accidente-choque con lesionados","MIGUEL HIDALGO",19.42352001,-99.17758008,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","MIGUEL HIDALGO",2021,2
"35","C5/210201/00511","01/02/2021",01:27:01,"Lunes","01/02/2021",02:36:53,"accidente-motociclista","IZTAPALAPA",19.359852,-98.996651,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","IZTAPALAPA",2021,2
"36","C5/210201/00518","01/02/2021",01:29:15,"Lunes","01/02/2021",06:20:38,"accidente-choque sin lesionados","IZTAPALAPA",19.31850999,-99.07580016,"A","EMERGENCIA","LLAMADA DEL 911","IZTAPALAPA",2021,2
"37","C5/210201/00532","01/02/2021",01:32:07,"Lunes","01/02/2021",03:08:40,"accidente-choque sin lesionados","BENITO JUAREZ",19.38787002,-99.14698008,"A","EMERGENCIA","RADIO","BENITO JUAREZ",2021,2
"38","C5/210201/00540","01/02/2021",01:32:18,"Lunes","01/02/2021",02:12:34,"lesionado-atropellado","AZCAPOTZALCO",19.46508003,-99.14312988,"N","URGENCIAS MEDICAS","LLAMADA DEL 911","AZCAPOTZALCO",2021,2
"39","C5/210201/02221","01/02/2021",11:41:27,"Lunes","01/02/2021",11:45:11,"lesionado-atropellado","IZTAPALAPA",19.35822996,-99.00091008,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","IZTAPALAPA",2021,2
"40","C5/210201/02243","01/02/2021",11:47:23,"Lunes","01/02/2021",13:27:46,"accidente-motociclista","IZTAPALAPA",19.32776001,-99.05321016,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","IZTAPALAPA",2021,2
"41","C5/210201/02329","01/02/2021",12:03:54,"Lunes","01/02/2021",13:34:03,"lesionado-atropellado","MILPA ALTA",19.21514004,-98.99404992,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","MILPA ALTA",2021,2
"42","C5/210201/02330","01/02/2021",12:03:31,"Lunes","01/02/2021",13:36:14,"accidente-choque con lesionados","IZTAPALAPA",19.32386004,-99.08337996,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","IZTAPALAPA",2021,2
"43","C5/210201/02331","01/02/2021",12:04:15,"Lunes","01/02/2021",15:01:20,"accidente-choque sin lesionados","BENITO JUAREZ",19.36782,-99.18965988,"N","EMERGENCIA","LLAMADA DEL 911","BENITO JUAREZ",2021,2
"44","C5/210201/02349","01/02/2021",12:09:05,"Lunes","01/02/2021",14:54:35,"accidente-choque con lesionados","TLAHUAC",19.29770001,-99.02720988,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","TLAHUAC",2021,2
"45","C5/210201/03928","01/02/2021",17:10:07,"Lunes","01/02/2021",17:20:42,"accidente-choque sin lesionados","TLALPAN",19.29338001,-99.17966988,"N","EMERGENCIA","LLAMADA DEL 911","TLALPAN",2021,2
"46","C5/210201/03932","01/02/2021",17:09:33,"Lunes","01/02/2021",17:18:14,"accidente-choque sin lesionados","IZTAPALAPA",19.32165,-99.03795012,"D","EMERGENCIA","LLAMADA DEL 911","IZTAPALAPA",2021,2
"47","C5/210201/03933","01/02/2021",17:12:04,"Lunes","01/02/2021",17:16:25,"accidente-choque sin lesionados","GUSTAVO A. MADERO",19.48473999,-99.07392996,"D","EMERGENCIA","LLAMADA DEL 911","GUSTAVO A. MADERO",2021,2
"48","C5/210201/03945","01/02/2021",17:13:44,"Lunes","01/02/2021",17:20:52,"accidente-choque sin lesionados","VENUSTIANO CARRANZA",19.44982998,-99.09956016,"D","EMERGENCIA","LLAMADA DEL 911","VENUSTIANO CARRANZA",2021,2
"49","C5/210201/03946","01/02/2021",17:14:10,"Lunes","01/02/2021",18:47:50,"accidente-choque con lesionados","CUAUHTEMOC",19.43472996,-99.16040016,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","CUAUHTEMOC",2021,2
"50","C5/210201/03966","01/02/2021",17:19:34,"Lunes","01/02/2021",17:21:26,"accidente-choque sin lesionados","GUSTAVO A. MADERO",19.46748996,-99.11669004,"D","EMERGENCIA","LLAMADA DEL 911","GUSTAVO A. MADERO",2021,2
"51","C5/210201/03984","01/02/2021",17:23:11,"Lunes","01/02/2021",17:24:38,"accidente-choque con lesionados","MIGUEL HIDALGO",19.44068004,-99.19098,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","MIGUEL HIDALGO",2021,2
"52","C5/210201/03981","01/02/2021",17:23:31,"Lunes","01/02/2021",20:23:21,"accidente-choque con lesionados","BENITO JUAREZ",19.39113999,-99.18891,"A","URGENCIAS MEDICAS","RADIO","BENITO JUAREZ",2021,2
"53","C5/210201/03982","01/02/2021",17:23:32,"Lunes","01/02/2021",20:52:38,"accidente-choque con lesionados","MIGUEL HIDALGO",19.45248003,-99.20319012,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","MIGUEL HIDALGO",2021,2
"54","C5/210201/04005","01/02/2021",17:25:45,"Lunes","01/02/2021",18:18:23,"accidente-choque sin lesionados","ALVARO OBREGON",19.37073996,-99.22146984,"N","EMERGENCIA","LLAMADA DEL 911","ALVARO OBREGON",2021,2
"55","C5/210201/04022","01/02/2021",17:28:45,"Lunes","01/02/2021",17:30:29,"accidente-choque con lesionados","MIGUEL HIDALGO",19.45248003,-99.20319012,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","MIGUEL HIDALGO",2021,2
"56","C5/210201/04033","01/02/2021",17:30:30,"Lunes","01/02/2021",17:33:14,"accidente-choque con lesionados","VENUSTIANO CARRANZA",19.42965999,-99.09815004,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","VENUSTIANO CARRANZA",2021,2
"57","C5/210201/04040","01/02/2021",17:31:06,"Lunes","01/02/2021",18:14:30,"lesionado-atropellado","CUAUHTEMOC",19.44669996,-99.14474988,"N","URGENCIAS MEDICAS","LLAMADA DEL 911","CUAUHTEMOC",2021,2
"58","C5/210201/04048","01/02/2021",17:32:52,"Lunes","01/02/2021",18:59:30,"lesionado-atropellado","VENUSTIANO CARRANZA",19.42965999,-99.09815004,"D","URGENCIAS MEDICAS","RADIO","VENUSTIANO CARRANZA",2021,2
"59","C5/210201/04053","01/02/2021",17:32:21,"Lunes","01/02/2021",18:15:54,"accidente-persona atrapada / desbarrancada","COYOACAN",19.345922,-99.180711,"A","EMERGENCIA","LLAMADA DEL 911","COYOACAN",2021,2
"60","C5/210201/04069","01/02/2021",17:35:11,"Lunes","01/02/2021",17:37:42,"lesionado-atropellado","VENUSTIANO CARRANZA",19.42981002,-99.09808992,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","VENUSTIANO CARRANZA",2021,2
"61","C5/210201/05074","01/02/2021",20:36:54,"Lunes","01/02/2021",21:03:36,"accidente-choque sin lesionados","GUSTAVO A. MADERO",19.49138001,-99.11967984,"N","EMERGENCIA","LLAMADA DEL 911","GUSTAVO A. MADERO",2021,2
"62","C5/210201/05076","01/02/2021",20:37:22,"Lunes","01/02/2021",21:38:10,"accidente-choque sin lesionados","IZTAPALAPA",19.34582004,-98.99947008,"N","EMERGENCIA","LLAMADA DEL 911","IZTAPALAPA",2021,2
"63","C5/210201/05122","01/02/2021",20:49:24,"Lunes","01/02/2021",21:19:39,"accidente-motociclista","CUAUHTEMOC",19.42559001,-99.17188992,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","CUAUHTEMOC",2021,2
"64","C5/210201/05129","01/02/2021",20:51:24,"Lunes","01/02/2021",21:11:06,"accidente-choque sin lesionados","COYOACAN",19.32080004,-99.11379996,"D","EMERGENCIA","LLAMADA DEL 911","COYOACAN",2021,2
"65","IZ/210201/04308","01/02/2021",18:22:09,"Lunes","01/02/2021",19:03:49,"lesionado-atropellado","MILPA ALTA",19.2186,-98.991342,"A","URGENCIAS MEDICAS","BOTÓN DE AUXILIO","MILPA ALTA",2021,2
"66","IZ/210201/05317","01/02/2021",21:28:28,"Lunes","01/02/2021",23:36:06,"accidente-motociclista","TLAHUAC",19.299345,-99.041756,"A","URGENCIAS MEDICAS","BOTÓN DE AUXILIO","TLAHUAC",2021,2
"67","IZ/210201/05652","01/02/2021",22:49:37,"Lunes","01/02/2021",22:55:51,"accidente-choque sin lesionados","IZTAPALAPA",19.391607,-99.047999,"D","EMERGENCIA","BOTÓN DE AUXILIO","IZTAPALAPA",2021,2
"68","AO/210201/01411","01/02/2021",08:16:37,"Lunes","01/02/2021",08:39:21,"accidente-choque sin lesionados","AZCAPOTZALCO",19.47811069,-99.191773,"N","EMERGENCIA","BOTÓN DE AUXILIO","AZCAPOTZALCO",2021,2
"69","C5/210201/00789","01/02/2021",02:51:57,"Lunes","01/02/2021",02:56:51,"accidente-choque con lesionados","IZTAPALAPA",19.36316997,-99.05739984,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","IZTAPALAPA",2021,2
"70","C5/210201/00784","01/02/2021",02:51:11,"Lunes","01/02/2021",04:49:23,"accidente-choque con lesionados","IZTAPALAPA",19.36316997,-99.05739984,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","IZTAPALAPA",2021,2
"71","C5/210201/00790","01/02/2021",02:52:07,"Lunes","01/02/2021",03:02:41,"accidente-volcadura","IZTAPALAPA",19.36311003,-99.05676984,"D","EMERGENCIA","LLAMADA DEL 911","IZTAPALAPA",2021,2
"72","C5/210201/00808","01/02/2021",02:56:12,"Lunes","01/02/2021",03:03:23,"accidente-choque con lesionados","IZTAPALAPA",19.36316997,-99.05739984,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","IZTAPALAPA",2021,2
"73","C5/210201/02375","01/02/2021",12:12:22,"Lunes","01/02/2021",12:16:38,"accidente-choque sin lesionados","BENITO JUAREZ",19.36782,-99.18965988,"D","EMERGENCIA","LLAMADA DEL 911","BENITO JUAREZ",2021,2
"74","C5/210201/02385","01/02/2021",12:15:36,"Lunes","01/02/2021",12:21:00,"accidente-choque con lesionados","COYOACAN",19.33435998,-99.15404004,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","COYOACAN",2021,2
"75","C5/210201/02386","01/02/2021",12:15:41,"Lunes","01/02/2021",12:21:14,"accidente-choque con lesionados","COYOACAN",19.33457004,-99.15400008,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","COYOACAN",2021,2
"76","C5/210201/02387","01/02/2021",12:15:58,"Lunes","01/02/2021",12:21:43,"accidente-choque con lesionados","COYOACAN",19.33435998,-99.15404004,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","COYOACAN",2021,2
"77","C5/210201/02391","01/02/2021",12:16:03,"Lunes","01/02/2021",12:21:28,"accidente-choque con lesionados","COYOACAN",19.33457004,-99.15400008,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","COYOACAN",2021,2
"78","C5/210201/02382","01/02/2021",12:14:10,"Lunes","01/02/2021",22:50:25,"accidente-choque con lesionados","COYOACAN",19.33457004,-99.15400008,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","COYOACAN",2021,2
"79","C5/210201/02404","01/02/2021",12:19:21,"Lunes","01/02/2021",12:22:34,"accidente-choque sin lesionados","BENITO JUAREZ",19.36782,-99.18965988,"D","EMERGENCIA","LLAMADA DEL 911","BENITO JUAREZ",2021,2
"80","C5/210201/02440","01/02/2021",12:26:44,"Lunes","01/02/2021",12:29:53,"accidente-choque sin lesionados","BENITO JUAREZ",19.36782,-99.18965988,"D","EMERGENCIA","LLAMADA DEL 911","BENITO JUAREZ",2021,2
"81","C5/210201/02472","01/02/2021",12:30:11,"Lunes","01/02/2021",12:33:44,"accidente-choque con lesionados","TLAHUAC",19.29765996,-99.02841984,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","TLAHUAC",2021,2
"82","C5/210201/02558","01/02/2021",12:46:47,"Lunes","01/02/2021",12:49:24,"accidente-choque sin lesionados","BENITO JUAREZ",19.36782,-99.18965988,"D","EMERGENCIA","LLAMADA DEL 911","BENITO JUAREZ",2021,2
"83","C5/210201/02587","01/02/2021",12:51:49,"Lunes","01/02/2021",13:02:03,"mi ciudad-calle-incidente de tránsito","GUSTAVO A. MADERO",19.47268293,-99.10905071,"N","EMERGENCIA","APLICATIVOS","GUSTAVO A. MADERO",2021,2
"84","C5/210201/02588","01/02/2021",12:50:08,"Lunes","01/02/2021",13:11:19,"accidente-choque con lesionados","BENITO JUAREZ",19.36310004,-99.18903996,"N","URGENCIAS MEDICAS","LLAMADA DEL 911","ALVARO OBREGON",2021,2
"85","C5/210201/02609","01/02/2021",12:55:46,"Lunes","01/02/2021",13:03:41,"accidente-choque con lesionados","IZTAPALAPA",19.32012999,-99.08408988,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","IZTAPALAPA",2021,2
"86","C5/210201/02589","01/02/2021",12:49:16,"Lunes","01/02/2021",13:03:07,"accidente-choque sin lesionados","ALVARO OBREGON",19.36268001,-99.19100016,"D","EMERGENCIA","LLAMADA DEL 911","ALVARO OBREGON",2021,2
"87","C5/210201/02592","01/02/2021",12:51:09,"Lunes","01/02/2021",12:59:59,"accidente-choque sin lesionados","BENITO JUAREZ",19.36782,-99.18965988,"D","EMERGENCIA","LLAMADA DEL 911","BENITO JUAREZ",2021,2
"88","C5/210201/02596","01/02/2021",12:51:48,"Lunes","01/02/2021",14:20:11,"accidente-choque con lesionados","ALVARO OBREGON",19.38302001,-99.23848992,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","ALVARO OBREGON",2021,2
"89","C5/210201/02597","01/02/2021",12:52:34,"Lunes","01/02/2021",12:59:04,"accidente-choque sin lesionados","BENITO JUAREZ",19.38516003,-99.18659016,"D","EMERGENCIA","LLAMADA DEL 911","BENITO JUAREZ",2021,2
"90","C5/210201/04087","01/02/2021",17:39:24,"Lunes","01/02/2021",18:57:31,"accidente-choque sin lesionados","XOCHIMILCO",19.26336996,-99.11952,"A","EMERGENCIA","RADIO","XOCHIMILCO",2021,2
"91","C5/210201/04169","01/02/2021",17:57:51,"Lunes","01/02/2021",19:43:56,"accidente-choque con lesionados","MIGUEL HIDALGO",19.42878996,-99.16349004,"D","URGENCIAS MEDICAS","RADIO","MIGUEL HIDALGO",2021,2
"92","C5/210201/04173","01/02/2021",17:58:02,"Lunes","01/02/2021",18:00:33,"accidente-choque sin lesionados","VENUSTIANO CARRANZA",19.44647001,-99.08784,"D","EMERGENCIA","LLAMADA DEL 911","VENUSTIANO CARRANZA",2021,2
"93","C5/210201/04176","01/02/2021",17:58:37,"Lunes","01/02/2021",18:03:03,"accidente-choque con lesionados","MIGUEL HIDALGO",19.45248003,-99.20319012,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","MIGUEL HIDALGO",2021,2
"94","C5/210201/04186","01/02/2021",18:00:20,"Lunes","01/02/2021",20:20:18,"accidente-choque con lesionados","MIGUEL HIDALGO",19.38322998,-99.26722008,"A","URGENCIAS MEDICAS","RADIO","MIGUEL HIDALGO",2021,2
"95","C5/210201/04222","01/02/2021",18:06:49,"Lunes","01/02/2021",18:12:31,"accidente-choque sin lesionados","MIGUEL HIDALGO",19.40682996,-99.22689,"D","EMERGENCIA","LLAMADA DEL 911","MIGUEL HIDALGO",2021,2
"96","C5/210201/04224","01/02/2021",18:07:13,"Lunes","01/02/2021",18:29:39,"accidente-choque sin lesionados","GUSTAVO A. MADERO",19.46464002,-99.13111992,"N","EMERGENCIA","LLAMADA DEL 911","GUSTAVO A. MADERO",2021,2
"97","C5/210201/04272","01/02/2021",18:16:10,"Lunes","01/02/2021",19:05:07,"accidente-choque sin lesionados","GUSTAVO A. MADERO",19.46748996,-99.11669004,"D","EMERGENCIA","LLAMADA DEL 911","GUSTAVO A. MADERO",2021,2
"98","C5/210201/04280","01/02/2021",18:17:12,"Lunes","01/02/2021",21:11:24,"accidente-choque sin lesionados","COYOACAN",19.30048002,-99.15971004,"A","EMERGENCIA","LLAMADA DEL 911","COYOACAN",2021,2
"99","C5/210201/04288","01/02/2021",18:18:36,"Lunes","01/02/2021",18:22:30,"accidente-choque sin lesionados","BENITO JUAREZ",19.36145997,-99.15221016,"D","EMERGENCIA","LLAMADA DEL 911","BENITO JUAREZ",2021,2
"100","C5/210201/04295","01/02/2021",18:19:21,"Lunes","01/02/2021",19:34:31,"accidente-choque sin lesionados","TLAHUAC",19.28295,-99.01055016,"F","FALSA ALARMA","LLAMADA DEL 911","TLAHUAC",2021,2
"101","C5/210201/04312","01/02/2021",18:21:48,"Lunes","01/02/2021",18:29:03,"accidente-choque con lesionados","TLALPAN",19.20835,-99.13467,"N","URGENCIAS MEDICAS","LLAMADA DEL 911","TLALPAN",2021,2
"102","C5/210201/04339","01/02/2021",18:27:51,"Lunes","01/02/2021",18:31:52,"lesionado-atropellado","VENUSTIANO CARRANZA",19.42837002,-99.09555012,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","VENUSTIANO CARRANZA",2021,2
"103","C5/210201/04366","01/02/2021",18:31:57,"Lunes","01/02/2021",18:37:01,"accidente-choque sin lesionados","COYOACAN",19.30048002,-99.15971004,"D","EMERGENCIA","LLAMADA DEL 911","COYOACAN",2021,2
"104","C5/210201/04370","01/02/2021",18:32:30,"Lunes","01/02/2021",18:35:30,"accidente-choque sin lesionados","VENUSTIANO CARRANZA",19.44982998,-99.09956016,"D","EMERGENCIA","LLAMADA DEL 911","VENUSTIANO CARRANZA",2021,2
"105","C5/210201/04387","01/02/2021",18:32:04,"Lunes","01/02/2021",18:54:31,"accidente-ciclista","VENUSTIANO CARRANZA",19.42315002,-99.07000992,"A","URGENCIAS MEDICAS","LLAMADA DEL 911","VENUSTIANO CARRANZA",2021,2
"106","C5/210201/04390","01/02/2021",18:34:20,"Lunes","01/02/2021",22:38:50,"accidente-choque sin lesionados","BENITO JUAREZ",19.35830997,-99.15278004,"A","EMERGENCIA","LLAMADA DEL 911","BENITO JUAREZ",2021,2
"107","C5/210201/04399","01/02/2021",18:35:28,"Lunes","01/02/2021",18:40:28,"lesionado-atropellado","VENUSTIANO CARRANZA",19.43172999,-99.09700992,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","VENUSTIANO CARRANZA",2021,2
"108","C5/210201/05191","01/02/2021",21:01:37,"Lunes","01/02/2021",21:07:13,"accidente-volcadura","XOCHIMILCO",19.224438,-99.140816,"D","EMERGENCIA","LLAMADA DEL 911","XOCHIMILCO",2021,2
"109","C5/210201/05195","01/02/2021",21:02:17,"Lunes","01/02/2021",21:06:07,"accidente-volcadura","XOCHIMILCO",19.228939,-99.144157,"D","EMERGENCIA","LLAMADA DEL 911","XOCHIMILCO",2021,2
"110","C5/210201/05192","01/02/2021",21:01:34,"Lunes","01/02/2021",21:51:45,"accidente-volcadura","XOCHIMILCO",19.228941,-99.144159,"N","EMERGENCIA","LLAMADA DEL 911","TLALPAN",2021,2
"111","C5/210201/05201","01/02/2021",21:02:17,"Lunes","01/02/2021",21:06:35,"accidente-volcadura","XOCHIMILCO",19.224438,-99.140816,"D","EMERGENCIA","LLAMADA DEL 911","XOCHIMILCO",2021,2
"112","C5/210201/05240","01/02/2021",21:11:23,"Lunes","01/02/2021",21:16:53,"accidente-choque con lesionados","CUAUHTEMOC",19.44818001,-99.16476984,"D","URGENCIAS MEDICAS","LLAMADA DEL 911","CUAUHTEMOC",2021,2
